,log_loss,no_predictor,no_pca
193,0.545979045201535,24,7
194,0.5479583148646227,24,8
195,0.5424912733173057,24,9
196,0.5355920746970595,24,10
197,0.5374705995840005,24,11
198,0.5350534379633918,24,12
199,0.5394805318044277,24,13
200,0.5372594015345954,24,14
201,0.5372413863426255,24,15
202,0.5270356513389473,24,16
203,0.5235394290020596,24,17
204,0.5227195584225864,24,18
205,0.5230607975810594,24,19
206,0.5230608460290771,24,20
207,0.5230614536211636,24,21
208,0.5230614265191287,24,22
209,0.5230614336459535,24,23
210,0.6921885332098238,25,3
211,0.688087883845787,25,4
212,0.6546794401532214,25,5
213,0.5342794229859346,25,6
214,0.5417306381144232,25,7
215,0.5360345734238247,25,8
216,0.5357271709960084,25,9
217,0.5004850685764475,25,10
218,0.5055197702848078,25,11
219,0.5097493351074189,25,12
220,0.5099210069616675,25,13
221,0.5084717956768231,25,14
222,0.499418451867933,25,15
223,0.4994721804230394,25,16
224,0.4976225740291403,25,17
225,0.4967025108970851,25,18
226,0.4957689375010955,25,19
227,0.49514985258870986,25,20
228,0.4951490294499536,25,21
229,0.4951492709098753,25,22
230,0.49514914580153996,25,23
231,0.49514943778513887,25,24
232,0.7495285565767649,26,3
233,0.7483596893031077,26,4
234,0.709591035553874,26,5
235,0.6367569025334731,26,6
236,0.640386638019796,26,7
237,0.6224154033693947,26,8
238,0.6228845670945814,26,9
239,0.6192522542247251,26,10
240,0.6184860213228008,26,11
241,0.6239322027554832,26,12
242,0.6222401041208101,26,13
243,0.6168566269860745,26,14
244,0.6170834406897786,26,15
245,0.6147171237920718,26,16
246,0.615265363265036,26,17
247,0.6168958305025973,26,18
248,0.612596746925983,26,19
249,0.6118470356172035,26,20
250,0.6124125612252277,26,21
251,0.6124121235632836,26,22
252,0.6124119876327578,26,23
253,0.6124121177492681,26,24
254,0.6124123482893842,26,25
255,0.6333712995834944,27,3
256,0.6267948472714087,27,4
257,0.5782226968051003,27,5
258,0.55708740944744,27,6
259,0.5575480388961546,27,7
260,0.5572240741309121,27,8
261,0.5559086424616355,27,9
262,0.5337559287780919,27,10
263,0.5335581855723266,27,11
264,0.5320417604767458,27,12
265,0.5324271632007117,27,13
266,0.5333849536195875,27,14
267,0.5441293037186635,27,15
268,0.5371999856285752,27,16
269,0.5378164846954849,27,17
270,0.5372539119046816,27,18
271,0.5378480079330537,27,19
272,0.5378210236044777,27,20
273,0.5367721962421887,27,21
274,0.5368257815760016,27,22
275,0.5368289320293216,27,23
276,0.5368273022842175,27,24
277,0.5368272647704261,27,25
278,0.5368272055343691,27,26
279,0.6298883326756731,28,3
280,0.6333842574314941,28,4
281,0.6350239322106345,28,5
282,0.6027886373220512,28,6
283,0.6115993494935069,28,7
284,0.6048504806525177,28,8
285,0.6079173350124775,28,9
286,0.5991442218756589,28,10
287,0.5981091697902853,28,11
288,0.6009383960279683,28,12
289,0.6062180796722061,28,13
290,0.6056462006454062,28,14
291,0.601820000800145,28,15
292,0.6022032712494608,28,16
293,0.6022801965819823,28,17
294,0.600754815284841,28,18
295,0.6026918760257575,28,19
296,0.6025549017918459,28,20
297,0.6021446517188819,28,21
298,0.602166105707588,28,22
299,0.6021682088959744,28,23
300,0.6021677671940825,28,24
301,0.6021683378904767,28,25
302,0.6021683369137409,28,26
303,0.6021688924334677,28,27
304,0.6371315251441575,29,3
305,0.6372419361150891,29,4
306,0.6227251763763673,29,5
307,0.5661103524731517,29,6
308,0.5662531773765722,29,7
309,0.5597638168287496,29,8
310,0.5592246862366953,29,9
311,0.5510220903172403,29,10
312,0.5542859008130476,29,11
313,0.5530916826532547,29,12
314,0.553544787791023,29,13
315,0.5599590090054986,29,14
316,0.5598717925595472,29,15
317,0.5616004287263796,29,16
318,0.5618647055528511,29,17
319,0.5620503063863695,29,18
320,0.5650046210978704,29,19
321,0.5634327247558446,29,20
322,0.5618879244227182,29,21
323,0.5625471312672566,29,22
324,0.562906708889412,29,23
325,0.5630199414601046,29,24
326,0.5630210535678996,29,25
327,0.5630210907389246,29,26
328,0.5630211256447826,29,27
