,log_loss,no_predictor,no_pca
72,0.6292425564279707,17,5
73,0.6397742354691768,17,6
74,0.6352842556103147,17,7
75,0.5611091355211754,17,8
76,0.5635353104039045,17,9
77,0.5630932040182085,17,10
78,0.5572415036686702,17,11
79,0.5586964013394037,17,12
80,0.547039810968825,17,13
81,0.5483690175116935,17,14
82,0.5489906311508465,17,15
83,0.5490062579872618,17,16
84,0.6961173656925089,18,3
85,0.6083910110521599,18,4
86,0.5933095515241809,18,5
87,0.5919319634981983,18,6
88,0.585434071023057,18,7
89,0.5284336081393575,18,8
90,0.5319725360492846,18,9
91,0.5317904140901044,18,10
92,0.5232179449225464,18,11
93,0.5157166993423479,18,12
94,0.5111292675802848,18,13
95,0.5080847889482305,18,14
96,0.5094853119823193,18,15
97,0.50846600416153,18,16
98,0.5085733772070321,18,17
99,0.6088747470106934,19,3
100,0.6072253250659124,19,4
101,0.5985839500441303,19,5
102,0.5695071007459169,19,6
103,0.569716232815713,19,7
104,0.5871412842037225,19,8
105,0.5710880356153071,19,9
106,0.5629384279835966,19,10
107,0.5629557018540177,19,11
108,0.5583928045843362,19,12
109,0.5557188087484104,19,13
110,0.5576668479283665,19,14
111,0.5633621808922599,19,15
112,0.5609040582468603,19,16
113,0.560318812464085,19,17
114,0.5602646247834934,19,18
115,0.6444187612852861,20,3
116,0.6435177686450185,20,4
117,0.6276802320192196,20,5
118,0.5723779679479263,20,6
119,0.5691232111929417,20,7
120,0.567266710258734,20,8
121,0.502751556952059,20,9
122,0.5005785247563341,20,10
123,0.4941524192876459,20,11
124,0.493012701838761,20,12
125,0.48877590254628644,20,13
126,0.4982144917892063,20,14
127,0.49734429726240537,20,15
128,0.49325484268030717,20,16
129,0.49325346766512185,20,17
130,0.4925599717156481,20,18
131,0.49246292898608107,20,19
132,0.7017069137375591,21,3
133,0.7050062560048814,21,4
134,0.6286368929473225,21,5
135,0.6311033071896635,21,6
136,0.6307189324655786,21,7
137,0.6263157232416282,21,8
138,0.5910720687989033,21,9
139,0.5914560014317638,21,10
140,0.5841524992247948,21,11
141,0.5837288716174502,21,12
142,0.5827779044039124,21,13
143,0.5869679039433714,21,14
144,0.5819622226590495,21,15
145,0.5732859303888413,21,16
146,0.5819968398006368,21,17
147,0.5765914648767129,21,18
148,0.5765201409685231,21,19
149,0.5764950378047995,21,20
150,0.617224228112378,22,3
151,0.6077056604603552,22,4
152,0.60342623704623,22,5
153,0.5969871518378198,22,6
154,0.5970914599777092,22,7
155,0.5790436829953614,22,8
156,0.5393184313226083,22,9
157,0.5408241092485686,22,10
158,0.5356939864315409,22,11
159,0.5354028077623946,22,12
160,0.5359152891672793,22,13
161,0.529920778171936,22,14
162,0.5299728519451811,22,15
163,0.5349716098252035,22,16
164,0.5380943981255158,22,17
165,0.5379542478853606,22,18
166,0.537884494782946,22,19
167,0.5378748813335021,22,20
168,0.5378754939401765,22,21
169,0.6828781789892523,23,3
170,0.6990836507533266,23,4
171,0.7004709094168879,23,5
172,0.6845904471811235,23,6
173,0.6729750950764356,23,7
174,0.6678516005865592,23,8
175,0.6443659506397864,23,9
176,0.6446654320811652,23,10
177,0.6482445968087912,23,11
178,0.6484483130321866,23,12
179,0.6516701133153792,23,13
180,0.649768586933797,23,14
181,0.6449192719539386,23,15
182,0.6103767875055189,23,16
183,0.6066499650826727,23,17
184,0.606362942523552,23,18
185,0.6063430190554631,23,19
186,0.6063419191308917,23,20
187,0.6063329951211146,23,21
188,0.6063328057112816,23,22
189,0.656235260956411,24,3
190,0.6440684617780437,24,4
191,0.6168269179488354,24,5
192,0.6174301902425322,24,6
193,0.6046568494010572,24,7
194,0.5993725784066246,24,8
195,0.5445483097673776,24,9
196,0.552385982392387,24,10
197,0.5529466279577276,24,11
198,0.5513175718439227,24,12
199,0.553632365694832,24,13
200,0.5528434569880117,24,14
201,0.5489401408031326,24,15
202,0.5461444115696953,24,16
203,0.5141155713389174,24,17
204,0.5138480299293859,24,18
205,0.5142868529060599,24,19
206,0.5143014028198598,24,20
207,0.5143540638794895,24,21
208,0.514380593911732,24,22
209,0.5143804601359315,24,23
210,0.6718176814445608,25,3
211,0.669854335835382,25,4
212,0.6644369529844661,25,5
213,0.6243542104248835,25,6
214,0.6253544831758218,25,7
215,0.6161565748449099,25,8
216,0.6123397472756249,25,9
217,0.5766003987972368,25,10
218,0.5774874459848327,25,11
219,0.5753872323509364,25,12
220,0.5754113157874995,25,13
221,0.5713745566859781,25,14
222,0.5712559676444751,25,15
223,0.5717659807917743,25,16
224,0.5702727874930043,25,17
225,0.537428485395038,25,18
226,0.5377012208907789,25,19
